#DDB;#CAS;NAME_DDB;NAME_UD;disp. e/kB [K];Mainclass
134;109-66-0;Pentane;N-PENTANE;115.7023;Alkane
136;71-41-0;1-Pentanol;1-PENTANOL;99.06822857;Alcohol
137;107-87-9;2-Pentanone;2-PENTANONE;94.86988333;Carbonyl
138;108-95-2;Phenol;PHENOL;102.4695125;Aromatics
140;71-23-8;1-Propanol;1-PROPANOL;92.4146;Alcohol
141;79-09-4;Propionic acid;PROPIONIC_ACID;75.46346667;Acids
142;107-03-9;1-Propanethiol;N-PROPYL_MERCAPTAN;;Thiol
143;75-56-9;1,2-Propylene oxide;1,2-PROPYLENE_OXIDE;110.681325;Epoxy
144;110-86-1;Pyridine;PYRIDINE;111.9919667;Aromatics
145;7697-37-2;Nitric acid;NITRIC_ACID;21.66928;otherNitrogenCompounds
146;7647-01-0;Hydrogen chloride;HYDROGEN_CHLORIDE;104.2534;Acids
147;119-36-8;Salicylic acid methyl ester;METHYL_SALICYLATE;94.790575;no_class_defined_in_mainclasses.txt
148;7664-93-9;Sulfuric acid;;;
149;75-15-0;Carbon disulfide;CARBON_DISULFIDE;;no_class_defined_in_mainclasses.txt
150;100-42-5;Styrene;STYRENE;117.465;Alkene
151;67-68-5;Dimethyl sulfoxide;DIMETHYL_SULFOXIDE;;Sulfoxide&Sulfonyl
152;631-36-7;Tetraethylsilane;Tetraethylsilane;;Other
153;75-65-0;tert-Butanol;2-METHYL-2-PROPANOL;96.29588333;Alcohol
154;629-59-4;Tetradecane;N-TETRADECANE;115.7023;Alkane
155;493-02-7;trans-Decahydronaphthalene;TRANS-DECAHYDRONAPHTHALENE;115.7023;Alkane
156;119-64-2;1,2,3,4-Tetrahydronaphthalene;1,2,3,4-TETRAHYDRONAPHTHALENE;116.75992;Alkane
157;56-23-5;Tetrachloromethane;CARBON_TETRACHLORIDE;106.54318;no_class_defined_in_mainclasses.txt
158;97-99-4;Tetrahydrofurfuryl alcohol;TETRAHYDROFURFURYL_ALCOHOL;98.637;no_class_defined_in_mainclasses.txt
159;109-99-9;Tetrahydrofuran;TETRAHYDROFURAN;111.68552;Ether
161;108-88-3;Toluene;TOLUENE;117.2131857;Alkane
162;121-44-8;Triethylamine;TRIETHYLAMINE;101.3862714;Amine
163;79-00-5;1,1,2-Trichloroethane;1,1,2-TRICHLOROETHANE;108.83296;HalogenatedHydrocarbon
164;127-18-4;Tetrachloroethylene;TETRACHLOROETHYLENE;108.6572667;no_class_defined_in_mainclasses.txt
167;71-55-6;1,1,1-Trichloroethane [R140a];1,1,1-TRICHLOROETHANE;108.83296;HalogenatedHydrocarbon
168;79-01-6;Trichloroethylene;TRICHLOROETHYLENE;109.53804;no_class_defined_in_mainclasses.txt
169;98-08-8;1',1',1'-Trifluorotoluene;BENZOTRIFLUORIDE;97.92877;HalogenatedHydrocarbon
170;3522-94-9;2,2,5-Trimethylhexane;2,2,5-TRIMETHYLHEXANE;115.7023;Alkane
171;464-06-2;2,2,3-Trimethylbutane;2,2,3-TRIMETHYLBUTANE;115.7023;Alkane
173;108-05-4;Vinyl acetate;VINYL_ACETATE;92.11013333;no_class_defined_in_mainclasses.txt
174;7732-18-5;Water;WATER;70.75953333;H2O
175;108-38-3;m-Xylene;M-XYLENE;117.024325;Alkane
176;106-42-3;p-Xylene;P-XYLENE;117.024325;Alkane
177;79-24-3;Nitroethane;NITROETHANE;44.95698;otherNitrogenCompounds
178;74-89-5;Methylamine;METHYLAMINE;103.38355;Amine
179;124-40-3;Dimethylamine;DIMETHYLAMINE;97.0164;Amine
180;75-33-2;2-Propanethiol;ISOPROPYL_MERCAPTAN;;Thiol
181;91-66-7;N,N-Diethylaniline;N,N-DIETHYLANILINE;107.5535727;Amine
182;96-41-3;Cyclopentanol;CYCLOPENTANOL;99.06822857;Alcohol
183;462-06-6;Fluorobenzene;FLUOROBENZENE;108.2459714;Aromatics
184;620-02-0;5-Methylfurfural;5-Methylfurfural;98.44885;Other
185;10026-04-7;Tetrachlorosilane;Tetrachlorosilane;;HalogenatedHydrocarbon
186;7550-45-0;Titanium tetrachloride;Titanium_tetrachloride;;HalogenatedHydrocarbon
187;7719-12-2;Phosphorous trichloride;PHOSPHORUS_TRICHLORIDE;;no_class_defined_in_mainclasses.txt
189;10025-91-9;Antimony trichloride;;;
190;110-88-3;1,3,5-Trioxane;TRIOXANE;105.66035;Ether
191;534-15-6;1,1-Dimethoxyethane;1,1-Dimethoxyethane;109.0076667;Other
192;592-77-8;2-Heptene;;;
196;628-28-4;Methyl butyl ether;METHYL_N-BUTYL_ETHER;112.3549833;Ether
200;79-34-5;1,1,2,2-Tetrachloroethane;1,1,2,2-TETRACHLOROETHANE;108.0697;HalogenatedHydrocarbon
203;7646-78-8;Tin tetrachloride;;;
205;105-37-3;Propanoic acid ethyl ester;ETHYL_PROPIONATE;94.97681429;Ester
206;123-92-2;Isoamyl acetate;ISOPENTYL_ACETATE;99.58247778;Ester
207;590-01-2;Propanoic acid butyl ester;N-BUTYL_PROPIONATE;99.58247778;Ester
210;7664-41-7;Ammonia;AMMONIA;109.7507;Amine
211;75-01-4;Vinyl chloride;VINYL_CHLORIDE;113.0611333;no_class_defined_in_mainclasses.txt
213;110-71-4;1,2-Dimethoxyethane;1,2-DIMETHOXYETHANE;109.0076667;Ether
214;7778-85-0;1,2-Dimethoxypropane;;;
218;678-26-2;Perfluoropentane;Perfluoropentane;71.39371176;HalogenatedHydrocarbon
219;507-20-0;tert-Butyl chloride;TERT-BUTYL_CHLORIDE;113.41252;HalogenatedHydrocarbon
220;76-13-1;1,1,2-Trichloro-1,2,2-trifluoroethane [R113];1,1,2-TRICHLOROTRIFLUOROETHANE;87.870025;HalogenatedHydrocarbon
221;1599-41-3;1,1,1,3,3-Pentafluoro-2,2,3-trichloropropane;;;
222;7722-84-1;Hydrogen peroxide;HYDROGEN_PEROXIDE;57.48305;PeroxyNoAcid
223;111-49-9;Hexamethylene imine;HEXAMETHYLENEIMINE;106.35935;Amine
225;50-00-0;Formaldehyde;FORMALDEHYDE;53.20505;no_class_defined_in_mainclasses.txt
226;123-39-7;N-Methylformamide;N-METHYLFORMAMIDE;75.75468;Amide
227;127-19-5;N,N-Dimethylacetamide;N,N-DIMETHYLACETAMIDE;78.16785;Amide
228;107-13-1;Acrylonitrile;ACRYLONITRILE;102.6653;no_class_defined_in_mainclasses.txt
229;107-02-8;Acrolein;ACROLEIN;85.335025;Carbonyl
230;56-81-5;Glycerol;GLYCEROL;76.88946667;Alcohol
231;78-94-4;Methyl vinyl ketone;Methyl_vinyl_ketone;91.40848;Carbonyl
232;79-41-4;Methacrylic acid;METHACRYLIC_ACID;81.7155;Acids
233;108-24-7;Acetic anhydride;ACETIC_ANHYDRIDE;77.12045714;Anhydride
234;115-18-4;2-Methyl-3-buten-2-ol;2-Methyl-3-buten-2-ol;99.57185714;Alcohol
235;107-92-6;Butyric acid;N-BUTYRIC_ACID;81.21187143;Acids
237;74-98-6;Propane;PROPANE;115.7023;Alkane
238;109-60-4;Propyl acetate;N-PROPYL_ACETATE;94.97681429;Ester
239;57-10-3;Palmitic acid;N-HEXADECANOIC_ACID;102.9953;Acids
240;109-73-9;Butylamine;N-BUTYLAMINE;108.6630143;Amine
241;120-92-3;Cyclopentanone;CYCLOPENTANONE;94.86988333;Carbonyl
242;112-80-1;Oleic acid;OLEIC_ACID;104.3733667;no_class_defined_in_mainclasses.txt
243;110-89-4;Piperidine;PIPERIDINE;105.0246429;Amine
244;75-45-6;Chlorodifluoromethane [R22];CHLORODIFLUOROMETHANE;81.454825;HalogenatedHydrocarbon
245;75-71-8;Dichlorodifluoromethane [R12];DICHLORODIFLUOROMETHANE;86.01454;HalogenatedHydrocarbon
246;116-15-4;Perfluoropropylene;HEXAFLUOROPROPYLENE;74.24701111;no_class_defined_in_mainclasses.txt
247;115-25-3;Perfluorocyclobutane [RC318];OCTAFLUOROCYCLOBUTANE;73.8553;HalogenatedHydrocarbon
248;124-10-7;Methyl myristate;Tetradecanoic_acid_methyl_ester;107.1682765;Acids
249;100-63-0;Phenylhydrazine;PHENYLHYDRAZINE;105.3893545;otherNitrogenCompounds
250;108-94-1;Cyclohexanone;CYCLOHEXANONE;97.84594286;Carbonyl
251;105-60-2;epsilon-Caprolactam;EPSILON-CAPROLACTAM;93.50917778;Amide
252;108-93-0;Cyclohexanol;CYCLOHEXANOL;101.1474875;Alcohol
253;112-39-0;Methyl palmitate;Hexadecanoic_acid_methyl_ester;108.0665947;Acids
254;141-22-0;Ricinoleic acid;;;
255;108-47-4;2,4-Dimethylpyridine;2,4-Dimethylpyridine;112.91955;Other
256;79-46-9;2-Nitropropane;2-NITROPROPANE;56.74786667;otherNitrogenCompounds
257;109-67-1;1-Pentene;1-PENTENE;116.40738;Alkene
259;865-49-6;Deutero chloroform;;;
260;75-25-2;Tribromomethane [R20B3];TRIBROMOMETHANE;;HalogenatedHydrocarbon
262;80-62-6;Methacrylic acid methyl ester;METHYL_METHACRYLATE;95.48044286;Ester
263;513-35-9;2-Methyl-2-butene;2-METHYL-2-BUTENE;116.40738;Alkene
264;563-46-2;2-Methyl-1-butene;2-METHYL-1-BUTENE;116.40738;Alkene
265;57-11-4;Stearic acid;N-OCTADECANOIC_ACID;104.2054905;Acids
266;123-51-3;3-Methyl-1-butanol;3-METHYL-1-BUTANOL;99.06822857;Alcohol
268;142-62-1;Hexanoic acid;N-HEXANOIC_ACID;88.87641111;Acids
269;124-07-2;Caprylic acid;N-OCTANOIC_ACID;93.75384545;Acids
273;110-80-5;2-Ethoxyethanol;2-ETHOXYETHANOL;96.1991;no_class_defined_in_mainclasses.txt
274;78-81-9;2-Methylpropylamine;ISOBUTYLAMINE;108.6630143;Amine
275;98-00-0;Furfuryl alcohol;FURFURYL_ALCOHOL;99.51835;no_class_defined_in_mainclasses.txt
276;111-85-3;1-Chlorooctane;1-CHLOROOCTANE;114.4302;HalogenatedHydrocarbon
277;526-75-0;2,3-Dimethylphenol;2,3-XYLENOL;105.11607;Aromatics
278;105-67-9;2,4-Dimethylphenol;2,4-XYLENOL;105.11607;Aromatics
279;576-26-1;2,6-Dimethylphenol;2,6-XYLENOL;105.11607;Aromatics
280;108-68-9;3,5-Dimethylphenol;3,5-XYLENOL;105.11607;Aromatics
281;126-98-7;Methacrylonitrile;METHACRYLONITRILE;105.2727;no_class_defined_in_mainclasses.txt
282;57-55-6;1,2-Propanediol;1,2-PROPYLENE_GLYCOL;82.43415714;Alcohol
283;110-02-1;Thiophene;THIOPHENE;;no_class_defined_in_mainclasses.txt
284;872-50-4;N-Methyl-2-pyrrolidone;N-METHYL-2-PYRROLIDONE;83.52991429;Amide
285;96-22-0;3-Pentanone;3-PENTANONE;94.86988333;Carbonyl
286;589-38-8;3-Hexanone;3-HEXANONE;97.84594286;Carbonyl
287;123-19-3;4-Heptanone;4-HEPTANONE;100.0779875;Carbonyl
288;592-84-7;Formic acid butyl ester;N-BUTYL_FORMATE;94.97681429;Ester
289;534-22-5;2-Methylfuran;2-Methylfuran;113.5301167;Other
290;590-86-3;3-Methylbutyraldehyde;;;
291;1072-96-4;4-Vinyl-1,3-dioxane;;;
292;107-31-3;Methyl formate;METHYL_FORMATE;79.4327;Ester
293;79-16-3;N-Methylacetamide;N-METHYLACETAMIDE;82.41261667;Amide
294;96-47-9;2-Methyltetrahydrofuran;2-Methyltetrahydrofuran;112.3549833;Other
295;79-11-8;Chloroacetic acid;CHLOROACETIC_ACID;73.55531667;no_class_defined_in_mainclasses.txt
296;111-27-3;1-Hexanol;1-HEXANOL;101.1474875;Alcohol
297;392-56-3;Hexafluorobenzene;HEXAFLUOROBENZENE;85.1984;Aromatics
298;79-10-7;Acrylic acid;ACRYLIC_ACID;76.05103333;Acids
302;108-91-8;Cyclohexylamine;CYCLOHEXYLAMINE;110.2273;Amine
303;335-57-9;Perfluoro-n-heptane;Perfluoroheptane;72.03586522;HalogenatedHydrocarbon
304;565-59-3;2,3-Dimethylpentane;2,3-DIMETHYLPENTANE;115.7023;Alkane
305;311-89-7;Perfluorotributylamine;Perfluorotributylamine;70.8269075;Amine
307;79-31-2;2-Methylpropanoic acid;ISOBUTYRIC_ACID;81.21187143;Acids
308;107-41-5;2-Methyl-2,4-pentanediol;HEXYLENE_GLYCOL;92.4146;Alcohol
309;4170-30-3;Crotonaldehyde;;;
310;93-58-3;Benzoic acid methyl ester;METHYL_BENZOATE;102.25208;Ester
313;123-72-8;Butyraldehyde;BUTANAL;90.7034;Carbonyl
314;542-92-7;1,3-Cyclopentadiene;CYCLOPENTADIENE;117.11246;Alkene
315;493-01-6;cis-Decahydronaphthalene;CIS-DECAHYDRONAPHTHALENE;115.7023;Alkane
316;75-28-5;2-Methylpropane;ISOBUTANE;115.7023;Alkane
317;141-32-2;2-Propenoic acid butyl ester;N-BUTYL_ACRYLATE;99.97418889;Ester
318;140-88-5;2-Propenoic acid ethyl ester;ETHYL_ACRYLATE;95.48044286;Ester
320;75-04-7;Ethylamine;ETHYLAMINE;105.8473;Amine
321;75-00-3;Chloroethane;ETHYL_CHLORIDE;111.886;HalogenatedHydrocarbon
322;95-47-6;o-Xylene;O-XYLENE;117.024325;Alkane
323;112-07-2;2-Butoxyethyl acetate;ETHYLENE_GLYCOL_MONOBUTYL_ETHER_ACETATE;100.6875455;no_class_defined_in_mainclasses.txt
324;109-52-4;Pentanoic acid;N-PENTANOIC_ACID;85.523175;Acids
325;100-61-8;N-Methylaniline;N-METHYLANILINE;108.5725889;Amine
326;107-12-0;Propionitrile;PROPIONITRILE;101.78395;(Iso)Nitril
327;126-99-8;2-Chloro-1,3-butadiene;CHLOROPRENE;114.82268;no_class_defined_in_mainclasses.txt
328;124-11-8;1-Nonene;1-NONENE;116.0940111;Alkene
329;75-29-6;2-Chloropropane;ISOPROPYL_CHLORIDE;112.840075;HalogenatedHydrocarbon
330;107-05-1;3-Chloro-1-propene;3-CHLOROPROPENE;113.721425;no_class_defined_in_mainclasses.txt
331;110-00-9;Furan;FURAN;113.09568;Aromatics
332;540-54-5;1-Chloropropane;N-PROPYL_CHLORIDE;112.840075;HalogenatedHydrocarbon
333;98-85-1;alpha.-Phenylethanol;ALPHA-METHYLBENZYL_ALCOHOL;105.11607;Alcohol
336;111-92-2;Dibutylamine;DI-N-BUTYLAMINE;108.22794;Amine
337;628-32-0;Ethyl propyl ether;ETHYL_PROPYL_ETHER;112.3549833;Ether
338;111-43-3;Di-n-propyl ether;DI-N-PROPYL_ETHER;112.8331714;Ether
339;628-81-9;Ethyl butyl ether;N-BUTYL_ETHYL_ETHER;112.8331714;Ether
340;112-63-0;Methyl linoleate;;;
341;583-59-5;2-Methylcyclohexanol <Isomer not specified>;2-Methylcyclohexanol;102.7646889;Alcohol
343;111-70-6;1-Heptanol;1-HEPTANOL;102.7646889;Alcohol
344;111-87-5;1-Octanol;1-OCTANOL;104.05845;Alcohol
345;112-30-1;1-Decanol;1-DECANOL;105.9990917;Alcohol
346;143-07-7;Lauric acid;N-DODECANOIC_ACID;99.60676667;Acids
347;544-63-8;Myristic acid;N-TETRADECANOIC_ACID;101.5003588;Acids
348;111-82-0;Methyl laurate;METHYL_DODECANOATE;106.0304067;Ester
349;112-61-8;Methyl stearate;Octadecanoic_acid_methyl_ester;108.7938048;Acids
350;556-52-5;2,3-Epoxy-1-propanol;2,3-EPOXY-1-PROPANOL;92.94856667;no_class_defined_in_mainclasses.txt
351;98-82-8;Isopropylbenzene;CUMENE;116.8774333;Alkane
353;135-19-3;2-Naphthol;2-Naphthol;107.4680083;Alcohol
354;872-05-9;1-Decene;1-DECENE;116.05484;Alkene
355;106-95-6;3-Bromo-1-propene;;;
356;563-45-1;3-Methyl-1-butene;3-METHYL-1-BUTENE;116.40738;Alkene
358;625-27-4;2-Methyl-2-pentene;2-METHYL-2-PENTENE;116.2898667;Alkene
360;565-69-5;2-Methyl-3-pentanone;ETHYL_ISOPROPYL_KETONE;97.84594286;Carbonyl
361;565-67-3;2-Methyl-3-pentanol;;;
364;106-99-0;1,3-Butadiene;1,3-BUTADIENE;117.465;Alkene
367;79-29-8;2,3-Dimethylbutane;2,3-DIMETHYLBUTANE;115.7023;Alkane
368;106-98-9;1-Butene;1-BUTENE;116.58365;Alkene
369;103-65-1;Propylbenzene;N-PROPYLBENZENE;116.8774333;Alkane
370;75-83-2;2,2-Dimethylbutane;2,2-DIMETHYLBUTANE;115.7023;Alkane
371;105-54-4;Ethyl butyrate;ETHYL_N-BUTYRATE;97.5675;Ester
372;98-86-2;Acetophenone;ACETOPHENONE;102.9891556;Carbonyl
373;110-19-0;Isobutyl acetate;ISOBUTYL_ACETATE;97.5675;Ester
374;108-31-6;Maleic anhydride;MALEIC_ANHYDRIDE;77.62408571;Anhydride
376;75-31-0;Isopropylamine;ISOPROPYLAMINE;107.4898;Amine
377;107-10-8;N-Propylamine;N-PROPYLAMINE;107.4898;Amine
378;57-06-7;Allyl isothiocyanate;ALLYLISOTHIOCYANATE;;no_classes_defined_in_substances.txt
379;104-76-7;2-Ethyl-1-hexanol;2-ETHYL-1-HEXANOL;104.05845;Alcohol
380;108-21-4;Acetic acid isopropyl ester;ISOPROPYL_ACETATE;94.97681429;Ester
381;646-06-0;1,3-Dioxolane;1,3-Dioxolane;107.66874;Alcohol
382;291-64-5;Cycloheptane;CYCLOHEPTANE;115.7023;Alkane
